,timesteps,full_model,stage_event_pathologic_stage_Stage.III_clinical,stage_event_pathologic_stage_Stage.IV_clinical,diagnosis_subtype_Papillary_clinical,gender_MALE_clinical
0,3.0,1.0,0.0,0.0,0.0,0.0
1,13.0,1.0,0.0,0.0,0.0,0.0
2,16.0,1.0,0.0,0.0,0.0,0.0
3,20.0,0.9946817571546992,1.6847100440148566e-07,2.602643584062939e-06,1.841503792731318e-07,1.5076341109071362e-08
4,34.0,0.9946817571546992,1.6847100440148566e-07,2.602643584062939e-06,1.841503792731318e-07,1.5076341109071362e-08
5,42.0,0.9946817571546992,1.6847100440148566e-07,2.602643584062939e-06,1.841503792731318e-07,1.5076341109071362e-08
6,57.0,0.9859997255846125,1.676582950311675e-07,7.839155786144255e-06,5.737095668488035e-07,9.550567636251763e-08
7,63.0,0.9832144746801708,1.6765829503116561e-07,1.4712722528504745e-05,1.1387662212925224e-06,9.550567636251802e-08
8,68.0,0.9800220984964366,3.2321035692415563e-07,1.85051738348901e-05,1.7325336555238314e-06,1.4590291730974073e-07
9,82.0,0.9735002347225024,3.5105732169849147e-07,5.013417894578335e-05,1.9884358854894355e-06,1.598969941217635e-07
10,93.0,0.9642201374646101,5.282594297535784e-07,6.572331027066087e-05,3.0517669079468135e-06,2.592737204237104e-07
11,106.0,0.9542643256428033,5.731974285626953e-07,8.316295953423462e-05,2.4778282300998655e-06,4.237505890473041e-07
12,122.0,0.9473131327900197,1.0148203200089998e-06,9.816451409758756e-05,2.913165799065711e-06,5.640117737462257e-07
13,134.0,0.9473131327900197,1.0148203200089998e-06,9.816451409758756e-05,2.913165799065711e-06,5.640117737462257e-07
14,147.0,0.9406654036919451,1.126964589773341e-06,0.00014498209085160306,3.762392643645576e-06,5.777637938645906e-07
15,163.0,0.9260065971065453,1.6212051606071938e-06,0.00025390367574384823,5.2358463830333495e-06,1.3068208179030391e-06
16,173.0,0.9154884959973336,1.829183808231402e-06,0.0003334353306116365,6.40071133305755e-06,1.3351653491100198e-06
17,187.0,0.911825417688792,1.8291838082314116e-06,0.00042453287267141715,6.660035363138162e-06,1.209497095045688e-06
18,195.0,0.9081709108561897,1.6646873541079442e-06,0.00040449315339006716,7.101771035409861e-06,1.129516873982017e-06
19,205.0,0.9004984474021588,1.7171019950516971e-06,0.00040571437157576614,9.426402258094092e-06,1.1970069037802326e-06
