,timesteps,full_model,tobacco_smoking_history_clinical,gender_MALE_clinical,anatomic_neoplasm_subdivision_R.Upper_clinical,stage_event_pathologic_stage_Stage.IB_clinical
0,2.0,1.0,0.0,0.0,0.0,0.0
1,4.0,0.9976452922218595,0.0,2.567541835957314e-08,1.9406491767509874e-08,4.5804653492503243e-07
2,7.0,0.9976452922218595,0.0,2.567541835957314e-08,1.9406491767509874e-08,4.5804653492503243e-07
3,11.0,0.9976452922218595,0.0,2.567541835957314e-08,1.9406491767509874e-08,4.5804653492503243e-07
4,15.0,0.9976452922218595,0.0,2.567541835957314e-08,1.9406491767509874e-08,4.5804653492503243e-07
5,19.0,0.9951856134970781,0.0,5.276527472872099e-08,1.9406491767508362e-08,7.360011869658394e-07
6,23.0,0.9925421868175955,0.0,8.457520918570148e-08,9.089544206628486e-08,1.4583059938202692e-06
7,27.0,0.9925421868175955,0.0,8.457520918570148e-08,9.089544206628486e-08,1.4583059938202692e-06
8,33.0,0.9898268940508689,0.0,8.457520918569982e-08,1.2382355311461563e-07,1.617275973342531e-06
9,35.0,0.9898268940508689,0.0,8.457520918569982e-08,1.2382355311461563e-07,1.617275973342531e-06
10,39.0,0.9898268940508689,0.0,8.457520918569982e-08,1.2382355311461563e-07,1.617275973342531e-06
11,44.0,0.9898268940508689,0.0,8.457520918569982e-08,1.2382355311461563e-07,1.617275973342531e-06
12,48.0,0.9898268940508689,0.0,8.457520918569982e-08,1.2382355311461563e-07,1.617275973342531e-06
13,62.0,0.9837797874344052,0.0,8.457520918569763e-08,9.793951059386684e-08,2.983607361762446e-06
14,76.0,0.980883592041022,0.0,1.6214757274203865e-07,9.793951059386851e-08,5.4559675566800815e-06
15,91.0,0.9737932158307201,0.0,2.51254551382609e-07,2.65521254414335e-07,1.0717569503727703e-05
16,103.0,0.9706766239588087,0.0,2.734505645986795e-07,3.822557099528928e-07,1.4060966129329415e-05
17,115.0,0.9706766239588087,0.0,2.734505645986795e-07,3.822557099528928e-07,1.4060966129329415e-05
18,127.0,0.963905870453666,0.0,3.507229647616388e-07,3.327214035930219e-07,1.5464311387043506e-05
19,141.0,0.9600763944601935,0.0,4.161544436103927e-07,2.8012926260789567e-07,1.663195219937106e-05
20,154.0,0.9600763944601935,0.0,4.161544436103927e-07,2.8012926260789567e-07,1.663195219937106e-05
21,163.0,0.9559873768935913,0.0,6.39484379102341e-07,4.5994539816621774e-07,1.6206946086385266e-05
22,179.0,0.9399592463473259,0.0,9.54082035532915e-07,4.3113522894698033e-07,3.160600764790668e-05
23,189.0,0.9356547594478645,0.0,1.1722480250867919e-06,5.377998605760437e-07,4.099854895608625e-05
24,208.0,0.9356547594478645,0.0,1.1722480250867919e-06,5.377998605760437e-07,4.099854895608625e-05
25,224.0,0.9356547594478645,0.0,1.1722480250867919e-06,5.377998605760437e-07,4.099854895608625e-05
26,244.0,0.9210906191081333,0.0,1.699270610943052e-06,4.4148197048509286e-07,5.883165133372157e-05
27,256.0,0.9210906191081333,0.0,1.699270610943052e-06,4.4148197048509286e-07,5.883165133372157e-05
28,274.0,0.9120030372635589,0.0,1.7576084712482485e-06,4.5439237656664283e-07,5.966147638344011e-05
29,297.0,0.9120030372635589,0.0,1.7576084712482485e-06,4.5439237656664283e-07,5.966147638344011e-05
30,327.0,0.8893745861638036,0.0,1.7987170414351118e-06,1.3516196681239263e-06,9.919282346721699e-05
31,370.0,0.8604469410159342,0.0,3.821353921850154e-06,3.033091816530202e-06,0.0001201735912072018
32,418.0,0.8503258431073395,0.0,3.3831046104357526e-06,2.9149307172209784e-06,0.00013320051683235983
33,434.0,0.8330464605981097,0.0,4.200944227503798e-06,3.6046560693885816e-06,0.00018686176329422
34,498.0,0.807235984381639,0.0,4.525931020831409e-06,3.322830061831286e-06,0.00028788018399410583
35,578.0,0.799310782076894,0.0,5.5230150612065225e-06,4.860383246434099e-06,0.0002889751492059347
36,610.0,0.7722543674162965,0.0,7.924043122498676e-06,4.8743994131599365e-06,0.000320176645904709
37,669.0,0.7528832307563107,0.0,7.110800540325045e-06,6.102513094002758e-06,0.0003728144045254086
38,761.0,0.730191159295921,0.0,8.449298909129527e-06,7.692837338219068e-06,0.0004976282452896001
39,855.0,0.6935418599459723,0.0,1.6125302302120882e-05,8.380560814487678e-06,0.0005915893618470463
40,896.0,0.6563255368105766,0.0,1.5856097472418173e-05,9.387119643544341e-06,0.0007381569978020428
41,940.0,0.6381855139795068,0.0,1.8421885600573315e-05,9.826280446925398e-06,0.0007920541781334848
42,1043.0,0.5972349179198763,0.0,2.1478189753762907e-05,8.471613106545836e-06,0.0007067291839930464
43,1158.0,0.5651023335043681,0.0,2.57861840704365e-05,1.1771811667082734e-05,0.0007974841061806399
44,1221.0,0.5260983566919852,0.0,2.4949798241488105e-05,1.2119218632123436e-05,0.0009403704012799316
45,1314.0,0.4788860201214765,0.0,1.954243197799072e-05,1.499144143376706e-05,0.0010603019845982584
46,1445.0,0.44667392448289506,0.0,2.2906184592666074e-05,1.2940984733994762e-05,0.0010959107032887043
47,1631.0,0.38674303848385183,0.0,2.7386403029590846e-05,1.0761268669327404e-05,0.0010847884355246694
48,1790.0,0.3308451269730637,0.0,2.4674289318279926e-05,7.897121874666615e-06,0.0009677151589261107
49,2973.0,0.26212139839620774,0.0,2.4085568521566037e-05,8.293379433555805e-06,0.0007036875362883445
