,timesteps,full_model,tumor_residual_disease_1.10.mm_clinical,anatomic_neoplasm_subdivision_Left_clinical,stage_event_clinical_stage_Stage.IIIC_clinical,tumor_residual_disease_No.Macroscopic.disease_clinical
0,12.0,0.9953524918584349,6.717294440202252e-08,1.0501995379121025e-08,1.0119461774626353e-08,1.5347207483716276e-06
1,24.0,0.9819346100417193,4.920457192155063e-07,1.302880144220352e-07,1.0119461774625907e-08,6.022138183233632e-06
2,61.0,0.9671723319847189,1.1014118558710504e-06,9.93792576794663e-08,1.933173641398275e-08,1.719509391914606e-05
3,89.0,0.9626279491479689,9.333126631954281e-07,2.164322085959882e-07,5.4658793557369884e-08,2.034685001400921e-05
4,94.0,0.9533555677159422,9.025166458419048e-07,2.1995991269809471e-07,4.8858957733975255e-08,2.189726951790387e-05
5,116.0,0.9533555677159422,9.025166458419048e-07,2.1995991269809471e-07,4.8858957733975255e-08,2.189726951790387e-05
6,129.0,0.9488112122671862,1.0018918452392928e-06,2.2074060613381445e-07,3.261206319162248e-08,2.257902675827547e-05
7,147.0,0.9488112122671862,1.0018918452392928e-06,2.2074060613381445e-07,3.261206319162248e-08,2.257902675827547e-05
8,168.0,0.9488112122671862,1.0018918452392928e-06,2.2074060613381445e-07,3.261206319162248e-08,2.257902675827547e-05
9,185.0,0.9488112122671862,1.0018918452392928e-06,2.2074060613381445e-07,3.261206319162248e-08,2.257902675827547e-05
10,192.0,0.9436019494643881,1.1943822192139533e-06,2.207406061338118e-07,3.261206319161984e-08,2.296978779639653e-05
11,220.0,0.9436019494643881,1.1943822192139533e-06,2.207406061338118e-07,3.261206319161984e-08,2.296978779639653e-05
12,239.0,0.9436019494643881,1.1943822192139533e-06,2.207406061338118e-07,3.261206319161984e-08,2.296978779639653e-05
13,257.0,0.9436019494643881,1.1943822192139533e-06,2.207406061338118e-07,3.261206319161984e-08,2.296978779639653e-05
14,277.0,0.9436019494643881,1.1943822192139533e-06,2.207406061338118e-07,3.261206319161984e-08,2.296978779639653e-05
15,360.0,0.9322443626214764,1.3539452301946188e-06,2.486449002083982e-07,1.1786052463989606e-07,3.6676179912083914e-05
16,395.0,0.9147418557013641,3.2668994765859827e-06,5.604774880964707e-07,1.8173383746673312e-07,6.406072455157148e-05
17,446.0,0.9027169060806743,3.450080431591779e-06,8.446840111822214e-07,2.7850520350461404e-07,6.51758851283663e-05
18,528.0,0.8904249668777159,4.454955826537986e-06,8.26489168111866e-07,2.7850520350460637e-07,0.00010062853233483252
19,555.0,0.877291566835857,5.227931463328376e-06,5.780282906470945e-07,3.70237865028817e-07,0.00010443273759623968
20,571.0,0.8586122246414412,6.3613421916424675e-06,6.60927593527571e-07,4.2648561551431166e-07,0.00014965958322520913
21,629.0,0.8331634726885272,5.140028675521111e-06,1.2948785412129075e-06,4.2648561551430695e-07,0.0001991003991507109
22,679.0,0.8186652174662575,4.705336887316939e-06,1.4573962304924627e-06,4.614152574649025e-07,0.00020202241123282776
23,741.0,0.8109253489273389,4.1396071133850925e-06,1.4280289140204014e-06,4.59031265551203e-07,0.00019026073984446275
24,837.0,0.797730257122842,4.970416500391802e-06,1.6396523414249577e-06,4.1527668378698385e-07,0.00021204020033054483
25,863.0,0.7841395272784452,5.920167757864664e-06,2.0100825750961014e-06,5.089288779853632e-07,0.00022959899766536774
26,887.0,0.7698263341981871,8.237202406013432e-06,2.145074660085274e-06,5.0892887798538e-07,0.00027284139926657435
27,949.0,0.7400560387797029,8.281374519915022e-06,2.5285285127691255e-06,8.537688899787878e-07,0.0002916561551982124
28,952.0,0.7254262670901904,1.0085068260718491e-05,2.7287944243532785e-06,8.611702784000166e-07,0.0003095661386573672
29,976.0,0.7112937642942335,1.1223675889645363e-05,2.3720426204904316e-06,1.042807739737382e-06,0.0003169230560908164
30,1024.0,0.6883827501759666,1.6121136304491687e-05,2.1044101233381107e-06,8.358239157983798e-07,0.0003546709178010485
31,1069.0,0.6624094767856255,1.2929601239349115e-05,2.270937238834403e-06,8.221147932509423e-07,0.0003350414142285103
32,1104.0,0.6226211258947447,1.2137017031380005e-05,1.8426525439848554e-06,1.45046341183209e-06,0.00039760543070245817
33,1158.0,0.6001899207347549,1.7019923973318173e-05,2.0813473862658587e-06,1.5423695420810412e-06,0.00042623197137550575
34,1199.0,0.5703683745749906,2.0000418202972542e-05,1.941257305956681e-06,2.288680757560413e-06,0.00042464935974568873
35,1249.0,0.5462104946875566,1.8388380373597438e-05,2.20607016862098e-06,2.6516499056865196e-06,0.00047955426867905745
36,1278.0,0.5208055987428,1.684000698512989e-05,3.4625725438046243e-06,2.651649905686517e-06,0.0005214247009051468
37,1324.0,0.4952801068355363,1.7669408953599147e-05,3.518496689689203e-06,2.8568691773949656e-06,0.000580048287792769
38,1357.0,0.4621039506086574,1.657238043592765e-05,2.999972348619659e-06,2.6097164697536015e-06,0.0006240208842598111
39,1369.0,0.4535257204157862,1.575249400307609e-05,2.9543610949974844e-06,2.074063597827312e-06,0.0006156075042919869
40,1446.0,0.4135190831412932,1.7616426972456965e-05,3.6396880692754245e-06,2.1234846431031982e-06,0.0006431611635677415
41,1516.0,0.3760663690989216,2.2261248785505247e-05,3.550054610550469e-06,1.2077059401892376e-06,0.0005446162239983846
42,1583.0,0.34705177600183845,2.7224710554525912e-05,4.519275268579365e-06,1.0809836952439348e-06,0.00047430799407679867
43,1722.0,0.3170062011210266,2.2007520564494686e-05,5.533956785891743e-06,8.146722096459222e-07,0.000525044427669353
44,1815.0,0.27717542170887755,3.265151957913677e-05,4.927063009558569e-06,1.49447361054373e-06,0.00047885668641303676
45,1933.0,0.2663231023771689,3.146084718886227e-05,4.927063009558565e-06,1.4944736105437257e-06,0.0004578369909061696
46,2089.0,0.22081120294106293,2.4907431222037706e-05,3.6872741529839678e-06,1.234093067386858e-06,0.0004891397147570495
47,2143.0,0.20962605432421996,2.5999110540453028e-05,3.5347818873078957e-06,9.821662888911513e-07,0.0004975427740869215
48,2490.0,0.18078869713077736,1.751393371267038e-05,3.4190534404693665e-06,8.365655230796064e-07,0.0003814701528957606
49,2780.0,0.1492553732089037,1.1376288823194706e-05,4.605072830027252e-06,8.387321124559634e-07,0.0002678755825741873
