,timesteps,full_model,breslow_depth_value_clinical,tumor_tissue_site_Regional.Lymph.Node_clinical,melanoma_ulceration_indicator_YES_clinical,gender_MALE_clinical
0,4.0,1.0,0.0,0.0,0.0,0.0
1,6.0,1.0,0.0,0.0,0.0,0.0
2,11.0,1.0,0.0,0.0,0.0,0.0
3,12.0,1.0,0.0,0.0,0.0,0.0
4,14.0,1.0,0.0,0.0,0.0,0.0
5,15.0,1.0,0.0,0.0,0.0,0.0
6,17.0,1.0,0.0,0.0,0.0,0.0
7,39.0,1.0,0.0,0.0,0.0,0.0
8,59.0,1.0,0.0,0.0,0.0,0.0
9,99.0,0.9943248883638959,0.0,9.729046005082483e-08,4.411732476067854e-07,2.6746085122313242e-08
10,133.0,0.9943248883638959,0.0,9.729046005082483e-08,4.411732476067854e-07,2.6746085122313242e-08
11,213.0,0.9866559291615026,0.0,9.729046005082415e-08,5.978061509455068e-07,1.0220185237038036e-07
12,263.0,0.9725594625089526,0.0,2.8826564744252285e-07,9.907329737783938e-07,4.0644349903832593e-07
13,282.0,0.9505132364083784,0.0,4.5319480275545434e-07,1.914520311651348e-06,4.2019141404457855e-07
14,353.0,0.9447544010955732,0.0,1.0013663694156805e-06,3.3694849579338077e-06,4.310886471422613e-07
15,384.0,0.9265512402042987,0.0,1.5396990793061927e-06,5.225871148110136e-06,1.0670469165388631e-06
16,422.0,0.9093141720344668,0.0,1.488064601355725e-06,5.02081130135313e-06,1.1786144942418481e-06
17,440.0,0.8990900168873174,0.0,2.1642136211137702e-06,6.808003807324658e-06,1.8402975325796576e-06
18,470.0,0.876808740001557,0.0,2.4280315976667073e-06,8.398154261726946e-06,2.4935190186678216e-06
19,507.0,0.8662572528311826,0.0,3.5422258532936907e-06,1.1180949146296053e-05,2.6407572887255018e-06
20,650.0,0.8438653134056862,0.0,3.876362271612433e-06,1.096017526590944e-05,4.008252763110398e-06
21,710.0,0.8332679540835483,0.0,3.889653389047567e-06,1.0378344565191644e-05,4.507838918120143e-06
22,743.0,0.8128180622132514,0.0,5.093932843911487e-06,1.1922239754675642e-05,4.560414460739672e-06
23,808.0,0.7834022108387808,0.0,8.007021641521366e-06,2.0326187989380147e-05,5.680532803077735e-06
24,824.0,0.7596086767734214,0.0,7.68303619575305e-06,2.8342152689749832e-05,5.416837259077732e-06
25,896.0,0.735061370555593,0.0,7.024385115522497e-06,3.271234631903032e-05,5.58299074842957e-06
26,952.0,0.7247327068404762,0.0,7.4596101211553495e-06,3.2864533749194476e-05,5.6578480351948965e-06
27,996.0,0.705289487139414,0.0,1.068745105464917e-05,4.082377743885898e-05,6.811787053809574e-06
28,1059.0,0.6915246650021308,0.0,1.1976658403278897e-05,4.198709660875838e-05,9.308527687267481e-06
29,1136.0,0.6752696801112587,0.0,1.1426162495388668e-05,4.6546364879365544e-05,9.375719248722829e-06
30,1204.0,0.6693532555339198,0.0,1.0667893456733885e-05,4.656690532979868e-05,9.375719248722835e-06
31,1280.0,0.6626113365112477,0.0,1.026549703874761e-05,4.704441450059459e-05,9.375719248722788e-06
32,1330.0,0.6483093727037454,0.0,1.3854376303654207e-05,4.984377799162713e-05,7.425013009785315e-06
33,1441.0,0.6211396617814697,0.0,1.6010805966666857e-05,4.996828976377824e-05,8.661169956434743e-06
34,1478.0,0.6077493457621169,0.0,1.963238928227115e-05,4.8263403895183725e-05,8.312607408522588e-06
35,1524.0,0.5801712750742225,0.0,2.051204437158617e-05,5.2227742233131185e-05,9.082977729750492e-06
36,1628.0,0.5659179798909274,0.0,2.189396415948613e-05,5.448324167656709e-05,8.759202234163295e-06
37,1716.0,0.5659179798909274,0.0,2.189396415948613e-05,5.448324167656709e-05,8.759202234163295e-06
38,1807.0,0.5483530179096783,0.0,1.8886725016376577e-05,4.6584550164564154e-05,1.3783093556388544e-05
39,1910.0,0.5196032282454234,0.0,1.4197518612609742e-05,3.8598512617042935e-05,1.2489806458093888e-05
40,1992.0,0.4933948648020131,0.0,1.6367734033164723e-05,4.170971268006694e-05,1.28862735648271e-05
41,2073.0,0.4649224439642915,0.0,1.0802519937078517e-05,3.348534307787104e-05,1.360684201386272e-05
42,2367.0,0.4463141592527404,0.0,1.162596468321968e-05,3.33197273846726e-05,1.3337928682526297e-05
43,2717.0,0.43590395465351345,0.0,1.2240054993566226e-05,3.4905482345386253e-05,1.2889931653619824e-05
44,2889.0,0.41900570458140196,0.0,1.1417705515121738e-05,4.025595037670329e-05,1.1172747458671091e-05
45,3104.0,0.4009850691787368,0.0,1.1396118925631488e-05,3.831743479286582e-05,1.272858883956134e-05
46,3199.0,0.3612146802856203,0.0,1.670448077213519e-05,4.597667144912486e-05,1.2783272881424769e-05
47,3687.0,0.34831362662673765,0.0,1.6704140451174523e-05,4.2419886429746034e-05,1.0809559756252637e-05
48,4135.0,0.32441077329191753,0.0,1.2483860700320368e-05,5.090296994799889e-05,1.1136257084979793e-05
49,6164.0,0.2738847011307184,0.0,1.1282230851413956e-05,4.93934856491487e-05,1.640382904124712e-05
